"John Snow 1856, ""Cholera and the water supply in the south district of London in 1854"" from Frost reprint of Snow papers (appendix) and from web pictures http://www.ph.ucla.edu/epi/snow/cholerawatersouthlondon.html",,,,,,,,,,,,,,,,,,
Table VI,,,,,,,,,,,,,,,,,,
"Transcribed by Thomas Coleman, University of Chicago Harris School of Public Policy",,,,,,,,,,,,,,,,,,
"Mortality from Cholera in1854, in Thirty-one Sub-Districts, as compared with Calculations founded on the Results shown in Table V.",,,,,,,,,,,,,,,,,,
Sub-Districts,,Population in 1851,Estimated population supplied with water as under,,,Deaths from Cholera in 1854,,,"Calculated mortality in the population, supplied with water as under",,,,,Supplier Tag,Amount of Lambeth supplied,Last 3 weeks allocation between Southwark vs wells allocated?,,
Lambeth,Brixton,14610,1922,9356,11278,48,48,33,31,25,56,50,26,SouthwarkVauxhall_Lambeth,less_Lambeth,n,Lambeth,TableI
Lambeth,Norwood,3977,0,1066,1066,10,10,25,0,3,3,27,29,Lambeth,all,n,Lambeth,TableI
Wandsworth,Clapham,16290,6747,134,6881,167,165,103,108,0,108,157,27,SouthwarkVauxhall_Lambeth,less_Lambeth,y,Wandsworth,TableII
Wandsworth,Battersea,10560,6276,276,6552,171,171,162,100,1,101,154,8,SouthwarkVauxhall,dirty_none,y,Wandsworth,TableII
Wandsworth,Wandsworth,9611,907,94,1001,59,59,61,15,0,15,148,9,SouthwarkVauxhall,dirty_none,n,Wandsworth,TableI
Wandsworth,Putney,5280,74,0,74,9,9,17,1,0,1,160,10,SouthwarkVauxhall,dirty_none,n,Wandsworth,TableI
Wandsworth,Streatham,9023,0,3244,3244,15,15,17,0,9,9,27,30,Lambeth,all,n,Wandsworth,TableI
Camberwell,Dulwich,1632,0,25,25,0,0,0,0,0,0,27,31,Lambeth,all,n,Camberwell,TableI
Camberwell,Camberwell,17742,9139,639,9778,242,240,136,146,2,148,151,11,SouthwarkVauxhall,dirty_none,y,Camberwell,TableII
Camberwell,Peckham,19444,5438,392,5830,175,174,90,87,1,88,151,12,SouthwarkVauxhall,dirty_none,y,Camberwell,TableII
Camberwell,"St. George, Camberwell",15849,4295,5437,9732,132,132,83,69,15,84,86,28,SouthwarkVauxhall_Lambeth,less_Lambeth,n,Camberwell,TableI
Rotherhithe,Rotherhithe,17805,12218,0,12218,283,282,159,196,0,196,160,7,SouthwarkVauxhall,dirty_none,y,Rotherhithe,TableII
Houses in streets with no death,,,28929,23338,52267,,,,,,,,,,,,,
Not identified,,,2712,165,2877,,,,,,,,,,,,,
Totals,,482435,267625,171528,439153,,,,,,,,,,,,,
Population as estimated by the Registrar-General,,,266516,173748,440264,,,,,,,,,,,,,
#Comments T. Coleman 2/2019,,,,,,,,,,,,,,,,,,
#I have inserted a column Deaths from Cholera from 1855 Table XII to highlight the slight revisions from Snow 1855 to Snow 1856,,,,,,,,,,,,,,,,,,
#I have calculated the projected deaths and mortality rates for the two companies and combined and reported to one decimal.,,,,,,,,,,,,,,,,,,
#These match Snow 1856 Table VI in all cases except Christchurch Southwark,,,,,,,,,,,,,,,,,,
#Calculated total should match Totals,,"482,435","267,625","171,528","439,153",,,,,,,,,,,,,
#Check,,ok,ok,ok,ok,,,,,,,,,,,,,
